NIP.MSU	NIP.RAPdb	MH63	ZS97
LOC_Os07g11620	None	MH07g0130300	None
LOC_Os07g11630	Os07g0216600	MH07g0130500	ZS07g0145900
LOC_Os07g11640	None	None	None
LOC_Os07g11650	Os07g0216700	MH07g0130900	ZS07g0146300
LOC_Os07g11670	Os07g0217000	MH07g0131200	ZS07g0146500
LOC_Os07g11680	None	MH07g0131300	ZS07g0146600
LOC_Os07g11690	None	None	None
LOC_Os07g11700	None	None	None
LOC_Os07g11710	None	None	None
LOC_Os07g11720	None	None	None
LOC_Os07g11739	Os07g0217600	None	None
LOC_Os07g11770	Os07g0217800	None	None
LOC_Os07g11780	None	None	None
LOC_Os07g11790	Os07g0218200	None	None
LOC_Os07g11800	None	None	None
LOC_Os07g11810	None	None	None
LOC_Os07g11820	None	None	None
LOC_Os07g11830	None	None	None
LOC_Os07g11840	None	None	None
LOC_Os07g11850	None	None	None
LOC_Os07g11860	None	None	None
LOC_Os07g11870	Os07g0218700	None	None
LOC_Os07g11890	Os07g0218900	None	None
LOC_Os07g11900	Os07g0219250	None	None
LOC_Os07g11910	Os07g0219300	None	None
LOC_Os07g11920	Os07g0219400	None	None
LOC_Os07g11970	Os07g0220200	None	None
LOC_Os07g11980	None	None	None
LOC_Os07g11990	None	None	None
LOC_Os07g12000	Os07g0220466	None	None
LOC_Os07g12010	None	None	None
LOC_Os07g12020	None	None	ZS07g0148300
LOC_Os07g12030	None	MH07g0133400	ZS07g0148400
LOC_Os07g12040	None	None	None
LOC_Os07g12050	Os07g0221650	None	None
LOC_Os07g12060	None	None	None
LOC_Os07g12070	None	None	None
LOC_Os07g12080	Os07g0222000	MH07g0134100	ZS07g0149100
LOC_Os07g12090	None	None	None
LOC_Os07g12100	Os07g0222200	MH07g0134300	None
LOC_Os07g12110	Os07g0222300	MH07g0134400	ZS07g0149600
LOC_Os07g12120	None	None	None
LOC_Os07g12130	None	None	None
LOC_Os07g12140	Os07g0222700	MH07g0135500	ZS07g0150900
LOC_Os07g12150	Os07g0222800	None	None
LOC_Os07g12160	Os07g0222900	MH07g0135700	ZS07g0151100
LOC_Os07g12170	Os07g0223100	MH07g0135800	ZS07g0151200
LOC_Os07g12180	None	None	None
LOC_Os07g12190	None	None	None
LOC_Os07g12200	Os07g0223400	None	None
LOC_Os07g12210	Os07g0223600	MH07g0135900	ZS07g0151300
LOC_Os07g12220	Os07g0223700	None	None
LOC_Os07g12230	None	None	None
LOC_Os07g12240	None	None	None
LOC_Os07g12250	Os07g0224000	MH07g0136200	ZS07g0151500
LOC_Os07g12255	Os07g0224132	None	None
LOC_Os07g12260	None	MH07g0136300	ZS07g0151600
LOC_Os07g12270	None	None	None
LOC_Os07g12280	Os07g0224200	MH07g0136500	None
LOC_Os07g12290	None	None	None
LOC_Os07g12300	None	None	None
LOC_Os07g12304	Os07g0224701	None	None
LOC_Os07g12310	None	None	None
LOC_Os07g12320	Os07g0224900	None	None
LOC_Os07g12330	Os07g0225100	MH07g0137000	ZS07g0152000
LOC_Os07g12340	Os07g0225300	MH07g0137200	None
LOC_Os07g12350	None	None	None
LOC_Os07g12360	None	None	None
LOC_Os07g12370	Os07g0225800	None	None
LOC_Os07g12380	None	None	None
LOC_Os07g12390	Os07g0226200	MH07g0138200	ZS07g0152500
LOC_Os07g12400	None	None	None
LOC_Os07g12410	None	None	ZS07g0153100
LOC_Os07g12420	None	None	None
LOC_Os07g12430	None	None	None
LOC_Os07g12440	Os07g0226901	None	ZS07g0153200
LOC_Os07g12450	None	MH07g0138700	ZS07g0153300
LOC_Os07g12460	None	MH07g0138800	ZS07g0153500
LOC_Os07g12470	Os07g0227200	None	None
LOC_Os07g12480	Os07g0227300	MH07g0139000	ZS07g0153700
LOC_Os07g12490	Os07g0227400	MH07g0139100	ZS07g0153800
LOC_Os07g12500	None	None	None
LOC_Os07g12510	Os07g0227600	MH07g0139200	None
LOC_Os07g12520	Os07g0227700	MH07g0139300	ZS07g0154000
LOC_Os07g12530	Os07g0227800	MH07g0139400	ZS07g0154200
LOC_Os07g12540	Os07g0228000	None	None
LOC_Os07g12550	Os07g0228350	None	None
LOC_Os07g12560	Os07g0228400	None	None
LOC_Os07g12570	Os07g0228000	None	None
LOC_Os07g12580	None	None	None
LOC_Os07g12590	Os07g0228900	None	ZS07g0154400
LOC_Os07g12600	Os07g0229100	None	ZS07g0154700
LOC_Os07g12610	Os07g0229200	MH07g0139700	ZS07g0154800
LOC_Os07g12620	Os07g0229500	None	None
LOC_Os07g12630	Os07g0229700	MH07g0140200	ZS07g0155000
LOC_Os07g12640	Os07g0229800	MH07g0140300	ZS07g0155100
LOC_Os07g12650	Os07g0229900	None	ZS07g0155200
LOC_Os07g12660	None	None	None
LOC_Os07g12670	None	None	None
LOC_Os07g12680	None	None	None
LOC_Os07g12690	None	None	None
LOC_Os07g12700	Os07g0230400	None	None
LOC_Os07g12710	Os07g0230500	MH07g0140700	ZS07g0155600
LOC_Os07g12720	Os07g0230600	None	None
LOC_Os07g12730	Os07g0230700	MH07g0140900	ZS07g0155900
LOC_Os07g12740	None	None	None
LOC_Os07g12750	None	None	None
LOC_Os07g12760	Os07g0231050	MH06g0211200	None
LOC_Os07g12770	Os07g0231400	MH07g0141200	ZS07g0156200
LOC_Os07g12780	Os07g0231500	MH07g0142200	ZS07g0157500
LOC_Os07g12790	Os07g0231700	None	None
LOC_Os07g12800	Os07g0231800	MH07g0142700	ZS07g0157800
LOC_Os07g12810	Os07g0231900	None	None
LOC_Os07g12820	Os07g0232100	None	None
LOC_Os07g12830	Os07g0232200	MH07g0142900	None
LOC_Os07g12840	None	None	None
LOC_Os07g12850	None	None	None
LOC_Os07g12860	None	None	None
LOC_Os07g12880	None	None	None
LOC_Os07g12890	Os07g0232800	MH07g0143700	ZS07g0168900
LOC_Os07g12900	Os07g0232900	MH07g0143800	ZS07g0169000
LOC_Os07g12910	Os07g0233300	MH07g0144000	ZS07g0169200
LOC_Os07g12920	None	MH07g0144100	None
LOC_Os07g12940	None	None	None
LOC_Os07g12950	None	MH07g0144400	ZS07g0169500
LOC_Os07g12970	None	MH07g0144600	ZS07g0169600
LOC_Os07g12980	None	None	None
LOC_Os07g12990	None	None	None
LOC_Os07g13010	None	None	None
LOC_Os07g13020	None	None	ZS07g0170400
LOC_Os07g13030	Os07g0234700	MH07g0145300	ZS07g0170500
LOC_Os07g13040	Os07g0234600	None	None
LOC_Os07g13050	None	None	None
LOC_Os07g13060	None	None	None
LOC_Os07g13070	None	None	None
LOC_Os07g13080	None	None	None
LOC_Os07g13090	None	MH07g0146100	ZS07g0171500
LOC_Os07g13100	Os07g0235200	None	None
LOC_Os07g13120	None	None	None
LOC_Os07g13130	None	None	None
LOC_Os07g13140	None	None	None
LOC_Os07g13160	Os07g0235700	None	None
LOC_Os07g13170	Os07g0235800	None	None
LOC_Os07g13180	None	None	None
LOC_Os07g13190	None	None	None
LOC_Os07g13200	None	None	None
LOC_Os07g13210	None	None	None
LOC_Os07g13220	None	None	None
LOC_Os07g13230	None	None	None
LOC_Os07g13234	Os07g0236200	None	None
LOC_Os07g13240	None	None	None
LOC_Os07g13260	Os07g0236700	None	None
LOC_Os07g13270	Os07g0236800	MH07g0150200	ZS07g0174700
LOC_Os07g13280	Os07g0237100	None	None
LOC_Os07g13310	Os07g0237200	None	None
LOC_Os07g13319	None	None	None
LOC_Os07g13330	None	None	None
LOC_Os07g13340	None	None	None
LOC_Os07g13350	None	None	None
LOC_Os07g13360	None	None	None
LOC_Os07g13370	Os07g0237900	None	None
LOC_Os07g13380	Os07g0238000	None	None
LOC_Os07g13390	None	None	None
LOC_Os07g13400	None	MH07g0151400	None
LOC_Os07g13420	None	None	None
LOC_Os07g13430	None	None	None
LOC_Os07g13440	Os07g0238500	None	None
LOC_Os07g13450	Os07g0238600	MH07g0151800	ZS07g0175900
LOC_Os07g13460	Os07g0238700	MH07g0152100	ZS07g0176200
LOC_Os07g13460	Os07g0238800	MH07g0152100	ZS07g0176200
LOC_Os07g13480	None	None	None
LOC_Os07g13490	Os07g0239000	MH07g0152300	ZS07g0176400
LOC_Os07g13500	None	None	None
LOC_Os07g13510	None	None	None
LOC_Os07g13520	Os07g0239200	MH07g0153200	ZS07g0177400
LOC_Os07g13530	Os07g0239400	MH07g0153300	ZS07g0177500
LOC_Os07g13534	Os07g0239500	None	None
LOC_Os07g13540	Os07g0239600	MH07g0153400	None
LOC_Os07g13550	None	None	None
LOC_Os07g13560	None	MH07g0153600	None
LOC_Os07g13570	None	None	None
LOC_Os07g13580	Os07g0240200	MH07g0154000	ZS07g0178200
LOC_Os07g13590	Os07g0240300	MH07g0154100	ZS07g0178300
LOC_Os07g13600	Os07g0240400	None	None
LOC_Os07g13610	None	None	None
LOC_Os07g13634	Os07g0240600	None	None
LOC_Os07g13660	None	None	None
LOC_Os07g13680	None	None	None
LOC_Os07g13690	None	None	None
LOC_Os07g13700	None	None	None
LOC_Os07g13710	None	MH07g0155600	None
LOC_Os07g13719	None	MH07g0155800	None
LOC_Os07g13728	None	None	None
LOC_Os07g13740	None	None	None
LOC_Os07g13760	None	None	None
LOC_Os07g13770	Os07g0241500	None	None
LOC_Os07g13780	Os07g0241600	None	None
LOC_Os07g13790	None	None	None
LOC_Os07g13800	Os07g0241700	None	None
LOC_Os07g13810	Os07g0241800	None	ZS07g0180600
LOC_Os07g13830	Os07g0242000	MH07g0156600	None
LOC_Os07g13834	Os07g0242050	None	None
LOC_Os07g13840	Os07g0242166	MH07g0156700	ZS07g0180800
LOC_Os07g13850	Os07g0242282	None	None
LOC_Os07g13860	None	None	None
LOC_Os07g13870	Os07g0242400	None	ZS07g0181300
LOC_Os07g13880	None	None	ZS07g0181400
LOC_Os07g13890	Os07g0242600	MH07g0157400	ZS07g0181500
LOC_Os07g13900	Os07g0242700	None	ZS07g0181600
LOC_Os07g13910	None	None	None
LOC_Os07g13920	Os07g0242800	MH07g0157600	ZS07g0181700
LOC_Os07g13930	Os07g0242900	MH07g0157700	ZS07g0181800
LOC_Os07g13940	Os07g0243000	MH07g0157800	None
LOC_Os07g13950	Os07g0243100	None	None
LOC_Os07g13960	None	None	None
LOC_Os07g13969	Os07g0243150	None	None
LOC_Os07g13980	Os07g0243200	MH07g0158000	ZS07g0182000
LOC_Os07g13990	Os07g0243301	None	None
LOC_Os07g14000	None	None	None
LOC_Os07g14010	None	None	None
LOC_Os07g14020	Os07g0243600	None	None
LOC_Os07g14030	Os07g0243800	MH07g0158800	ZS07g0182700
LOC_Os07g14040	None	None	None
LOC_Os07g14050	None	None	None
LOC_Os07g14060	None	None	ZS07g0183100
LOC_Os07g14070	Os07g0244100	MH07g0159700	ZS07g0183500
LOC_Os07g14080	Os07g0244200	MH07g0159900	ZS07g0183600
LOC_Os07g14090	Os07g0244300	MH07g0160000	ZS07g0183700
LOC_Os07g14100	Os07g0244400	MH07g0160100	ZS07g0183800
LOC_Os07g14110	Os07g0244500	MH07g0160200	ZS07g0183900
LOC_Os07g14120	Os07g0244600	MH07g0160300	ZS07g0184000
LOC_Os07g14130	Os07g0244800	None	None
LOC_Os07g14140	Os07g0244900	MH07g0160400	ZS07g0184100
LOC_Os07g14150	Os07g0245100	None	None
LOC_Os07g14160	Os07g0245200	None	None
LOC_Os07g14170	None	None	None
LOC_Os07g14180	None	None	None
LOC_Os07g14190	None	None	None
LOC_Os07g14200	None	None	None
LOC_Os07g14210	None	None	None
LOC_Os07g14220	None	None	None
LOC_Os07g14230	None	None	None
LOC_Os07g14240	None	None	None
LOC_Os07g14250	None	None	None
LOC_Os07g14260	Os07g0246001	None	None
LOC_Os07g14260	Os07g0245801	None	None
LOC_Os07g14270	Os07g0246200	MH07g0161300	ZS07g0184900
LOC_Os07g14280	Os07g0246300	MH07g0161400	ZS07g0185000
LOC_Os07g14290	None	None	None
LOC_Os07g14300	None	MH07g0161600	None
LOC_Os07g14310	Os07g0246600	MH07g0161700	ZS07g0185300
LOC_Os07g14320	None	None	None
LOC_Os07g14330	None	None	None
LOC_Os07g14340	Os07g0247000	MH07g0162100	ZS07g0185500
LOC_Os07g14350	Os07g0247100	MH07g0162200	ZS07g0185600
LOC_Os07g14360	Os07g0247300	None	None
LOC_Os07g14370	None	None	None
LOC_Os07g14380	None	None	ZS07g0185800
LOC_Os07g14390	None	None	None
LOC_Os07g14400	None	MH07g0162800	ZS07g0186200
LOC_Os07g14410	Os07g0248000	None	None
LOC_Os07g14420	Os07g0248100	MH07g0163100	None
LOC_Os07g14430	None	None	None
LOC_Os07g14440	Os07g0248200	None	None
LOC_Os07g14450	None	None	None
LOC_Os07g14460	None	None	None
LOC_Os07g14470	Os07g0248500	None	None
LOC_Os07g14480	None	None	None
LOC_Os07g14490	Os07g0248600	None	None
LOC_Os07g14500	None	None	None
LOC_Os07g14514	Os07g0248800	MH07g0163800	ZS07g0187100
LOC_Os07g14514	Os07g0248900	MH07g0163800	ZS07g0187100
LOC_Os07g14530	Os07g0249100	MH07g0163900	ZS07g0187200
LOC_Os07g14540	Os07g0249200	MH07g0164000	ZS07g0187300
LOC_Os07g14560	None	None	None
LOC_Os07g14570	None	None	None
LOC_Os07g14580	Os07g0249600	MH07g0165000	ZS07g0187900
LOC_Os07g14590	Os07g0249700	MH07g0165100	ZS07g0188000
LOC_Os07g14600	Os07g0249800	None	None
LOC_Os07g14610	Os07g0249900	None	None
LOC_Os07g14620	None	MH07g0165300	None
LOC_Os07g14630	Os07g0250100	None	None
LOC_Os07g14640	Os07g0250200	MH07g0165900	ZS07g0188700
LOC_Os07g14650	Os07g0250300	MH07g0166000	ZS07g0188800
LOC_Os07g14660	Os07g0250501	None	None
LOC_Os07g14670	None	None	None
LOC_Os07g14680	None	MH07g0166300	ZS07g0189100
LOC_Os07g14700	Os07g0250900	None	None
LOC_Os07g14710	Os07g0251050	None	None
LOC_Os07g14720	None	None	None
LOC_Os07g14740	Os07g0251200	None	None
LOC_Os07g14750	Os07g0251301	None	None
LOC_Os07g14760	Os07g0251400	None	None
LOC_Os07g14770	None	None	None
LOC_Os07g14780	None	None	None
LOC_Os07g14790	None	None	None
LOC_Os07g14800	None	None	None
LOC_Os07g14810	None	None	None
LOC_Os07g14820	Os07g0251900	None	None
LOC_Os07g14830	Os07g0252000	MH07g0168100	ZS07g0190900
LOC_Os07g14840	Os07g0252100	None	ZS07g0191000
LOC_Os07g14850	Os07g0252400	MH07g0168500	ZS07g0191200
LOC_Os07g14860	Os07g0252500	None	None
LOC_Os07g14870	None	None	None
LOC_Os07g14880	None	None	None
LOC_Os07g14890	Os07g0252800	None	None
LOC_Os07g14900	Os07g0252900	None	None
LOC_Os07g14910	Os07g0253000	MH07g0169200	ZS07g0191700
LOC_Os07g14920	Os07g0253100	None	None
LOC_Os07g14930	None	None	None
LOC_Os07g14940	Os07g0254300	None	None
LOC_Os07g14940	Os07g0253400	None	None
LOC_Os07g14950	None	None	None
LOC_Os07g14960	None	None	None
LOC_Os07g14970	None	MH07g0170100	ZS07g0192400
LOC_Os07g14980	None	None	None
LOC_Os07g14990	None	None	None
LOC_Os07g15000	None	None	None
LOC_Os07g15010	None	MH07g0170700	None
LOC_Os07g15020	None	None	None
LOC_Os07g15030	None	None	None
LOC_Os07g15040	None	None	None
LOC_Os07g15050	None	None	None
LOC_Os07g15060	None	None	None
LOC_Os07g15070	None	None	None
LOC_Os07g15080	None	None	None
LOC_Os07g15090	None	None	None
LOC_Os07g15100	None	None	None
LOC_Os07g15110	None	None	None
LOC_Os07g15120	None	None	None
LOC_Os07g15130	None	None	None
LOC_Os07g15140	None	None	None
LOC_Os07g15150	None	None	None
LOC_Os07g15160	Os07g0255200	None	None
LOC_Os07g15170	None	None	None
LOC_Os07g15180	None	None	None
LOC_Os07g15190	Os07g0255600	None	None
LOC_Os07g15200	None	None	None
LOC_Os07g15210	None	None	None
LOC_Os07g15230	Os07g0255900	MH07g0173300	ZS07g0194900
LOC_Os07g15240	Os07g0256000	MH07g0173400	ZS07g0195000
LOC_Os07g15250	None	None	None
LOC_Os07g15260	None	None	None
LOC_Os07g15270	Os07g0256200	MH07g0173800	ZS07g0195700
LOC_Os07g15280	Os07g0256300	MH07g0173900	ZS07g0195800
LOC_Os07g15290	None	None	None
LOC_Os07g15300	None	MH07g0174300	None
LOC_Os07g15310	None	None	None
LOC_Os07g15320	Os07g0256700	None	None
LOC_Os07g15330	None	None	None
LOC_Os07g15340	None	None	None
LOC_Os07g15350	Os07g0257050	None	None
LOC_Os07g15360	None	None	None
LOC_Os07g15370	Os07g0257200	MH07g0175300	ZS07g0196700
LOC_Os07g15390	None	None	None
LOC_Os07g15400	None	None	None
LOC_Os07g15410	Os07g0257800	None	None
LOC_Os07g15420	None	MH07g0176400	ZS07g0197300
LOC_Os07g15430	Os07g0258000	None	None
LOC_Os07g15440	Os07g0258100	MH07g0176800	None
LOC_Os07g15450	None	MH07g0177000	ZS07g0197800
LOC_Os07g15460	Os07g0258400	MH07g0177300	ZS07g0198100
LOC_Os07g15470	None	None	None
LOC_Os07g15480	None	None	None
LOC_Os07g15490	Os07g0258700	MH07g0178100	ZS07g0198500
LOC_Os07g15500	Os07g0258800	MH07g0178200	ZS07g0198600
LOC_Os07g15510	None	MH07g0178300	None
LOC_Os07g15520	None	None	None
LOC_Os07g15530	Os07g0259000	None	None
LOC_Os07g15540	Os07g0259100	MH07g0178500	ZS07g0198900
LOC_Os07g15550	None	None	None
LOC_Os07g15560	None	None	None
LOC_Os07g15570	Os07g0259400	None	None
LOC_Os07g15580	None	None	None
LOC_Os07g15590	None	None	ZS07g0199400
LOC_Os07g15600	Os07g0259700	MH07g0179100	ZS07g0199500
LOC_Os07g15610	None	None	None
LOC_Os07g15620	None	None	None
LOC_Os07g15630	None	None	None
LOC_Os07g15640	Os07g0260000	MH07g0179500	ZS07g0200000
LOC_Os07g15650	Os07g0260150	MH07g0179700	None
LOC_Os07g15660	None	None	None
LOC_Os07g15670	Os07g0260300	MH07g0179800	ZS07g0200200
LOC_Os07g15680	Os07g0260400	MH07g0179900	ZS07g0200300
LOC_Os07g15690	None	MH07g0180000	ZS07g0200400
LOC_Os07g15700	None	None	None
LOC_Os07g15710	None	None	None
LOC_Os07g15720	None	None	None
LOC_Os07g15730	None	None	None
LOC_Os07g15740	None	None	None
LOC_Os07g15750	None	None	None
LOC_Os07g15760	None	None	None
LOC_Os07g15770	Os07g0261200	MH07g0181500	None
LOC_Os07g15780	None	None	None
LOC_Os07g15790	None	None	None
LOC_Os07g15800	None	None	None
LOC_Os07g15820	None	None	None
LOC_Os07g15830	None	None	None
LOC_Os07g15840	None	MH07g0182500	None
LOC_Os07g15850	None	None	None
LOC_Os07g15860	None	MH07g0182900	ZS07g0201900
LOC_Os07g15870	Os07g0262000	None	None
LOC_Os07g15880	Os07g0262200	MH07g0183000	ZS07g0202000
LOC_Os07g15890	None	None	None
LOC_Os07g15910	None	None	None
LOC_Os07g15920	None	None	None
LOC_Os07g15930	Os07g0262600	None	None
LOC_Os07g15940	Os07g0262800	MH07g0183700	None
LOC_Os07g15950	None	None	None
LOC_Os07g15959	None	None	None
LOC_Os07g15959	None	None	None
LOC_Os07g15970	Os07g0263400	None	None
LOC_Os07g15980	None	None	None
LOC_Os07g15990	None	None	None
LOC_Os07g16000	None	None	None
LOC_Os07g16010	None	None	None
LOC_Os07g16030	Os07g0264000	MH07g0183900	ZS07g0203400
LOC_Os07g16040	Os07g0264100	MH07g0184000	ZS07g0203500
LOC_Os07g16054	None	None	None
LOC_Os07g16070	None	MH08g0364800	None
LOC_Os07g16080	None	None	None
LOC_Os07g16090	Os07g0264450	None	None
LOC_Os07g16100	None	None	None
LOC_Os07g16110	None	None	None
LOC_Os07g16120	None	None	None
LOC_Os07g16130	Os07g0264800	MH07g0184600	ZS07g0204000
LOC_Os07g16140	Os07g0264900	MH07g0184700	ZS07g0204100
LOC_Os07g16150	Os07g0265100	None	None
LOC_Os07g16160	None	None	None
LOC_Os07g16170	None	None	None
LOC_Os07g16180	None	None	None
LOC_Os07g16190	None	None	None
LOC_Os07g16210	None	None	None
LOC_Os07g16224	Os07g0265600	None	None
LOC_Os07g16240	None	None	None
LOC_Os07g16250	None	None	None
LOC_Os07g16260	Os07g0266000	None	None
LOC_Os07g16270	Os07g0266100	None	None
LOC_Os07g16280	None	None	None
LOC_Os07g16290	None	None	None
LOC_Os07g16320	None	None	None
LOC_Os07g16330	Os07g0266800	None	None
LOC_Os07g16350	None	None	None
LOC_Os07g16360	None	None	None
LOC_Os07g16364	Os07g0267300	None	None
LOC_Os07g16380	None	None	None
LOC_Os07g16400	None	None	None
LOC_Os07g16410	None	None	None
LOC_Os07g16420	Os07g0268000	None	None
LOC_Os07g16430	None	None	None
LOC_Os07g16440	None	None	None
LOC_Os07g16450	None	None	None
LOC_Os07g16460	None	None	None
LOC_Os07g16470	None	None	None
LOC_Os07g16480	None	None	None
LOC_Os07g16490	None	None	None
LOC_Os07g16500	None	MH07g0185100	None
LOC_Os07g16510	None	None	None
LOC_Os07g16520	None	None	None
LOC_Os07g16530	None	None	None
LOC_Os07g16540	None	None	None
LOC_Os07g16550	None	None	None
LOC_Os07g16560	None	None	None
LOC_Os07g16570	None	None	None
LOC_Os07g16580	None	None	None
LOC_Os07g16590	None	None	None
LOC_Os07g16600	Os07g0268800	None	ZS07g0209500
LOC_Os07g16610	None	None	None
LOC_Os07g16620	None	None	ZS07g0209800
LOC_Os07g16630	None	None	None
LOC_Os07g16640	None	None	None
LOC_Os07g16650	None	None	None
LOC_Os07g16660	None	None	None
LOC_Os07g16670	None	MH07g0191300	ZS07g0211200
LOC_Os07g16680	None	None	None
LOC_Os07g16690	None	None	ZS11g0208300
LOC_Os07g16700	None	None	None
LOC_Os07g16710	None	None	None
LOC_Os07g16720	None	None	None
LOC_Os07g16730	None	None	None
LOC_Os07g16740	Os07g0269400	MH07g0191700	None
LOC_Os07g16750	Os07g0269500	MH07g0192000	ZS07g0211600
LOC_Os07g16760	Os07g0269600	None	ZS07g0211700
LOC_Os07g16770	None	None	None
LOC_Os07g16780	None	None	None
LOC_Os07g16790	None	None	None
LOC_Os07g16800	Os07g0269800	None	None
LOC_Os07g16810	None	None	None
LOC_Os07g16820	None	None	None
LOC_Os07g16830	None	None	None
LOC_Os07g16840	None	None	None
LOC_Os07g16850	None	None	None
LOC_Os07g16860	None	None	None
LOC_Os07g16870	None	None	None
LOC_Os07g16880	None	MH07g0193100	ZS07g0212300
LOC_Os07g16890	None	None	None
LOC_Os07g16900	None	None	None
LOC_Os07g16910	None	None	None
LOC_Os07g16920	None	None	None
LOC_Os07g16930	Os07g0270800	MH07g0193800	ZS07g0212900
LOC_Os07g16950	Os07g0270900	MH07g0194100	ZS07g0213100
LOC_Os07g16960	Os07g0270950	MH07g0194200	ZS07g0213200
LOC_Os07g16970	Os07g0271000	MH07g0194300	ZS07g0213300
LOC_Os07g16980	None	None	None
LOC_Os07g16990	None	MH10g0045600	ZS10g0054300
LOC_Os07g17000	None	None	None
LOC_Os07g17010	Os07g0271500	MH07g0194900	ZS07g0213700
LOC_Os07g17020	None	None	None
LOC_Os07g17030	None	None	None
LOC_Os07g17040	Os07g0271600	None	None
LOC_Os07g17050	Os07g0271700	None	None
LOC_Os07g17060	None	None	None
LOC_Os07g17070	None	None	None
LOC_Os07g17080	None	None	ZS12g0314100
LOC_Os07g17090	None	None	None
LOC_Os07g17100	None	None	None
LOC_Os07g17120	Os07g0272300	None	None
LOC_Os07g17130	Os07g0272400	MH07g0196100	ZS07g0214700
LOC_Os07g17140	None	None	None
LOC_Os07g17150	None	None	None
LOC_Os07g17160	Os07g0272500	None	None
LOC_Os07g17170	None	None	None
LOC_Os07g17180	Os07g0272700	MH07g0196400	ZS07g0215000
LOC_Os07g17184	Os07g0272900	None	None
LOC_Os07g17200	None	None	None
LOC_Os07g17210	Os07g0273301	None	None
LOC_Os07g17220	Os07g0273600	None	ZS07g0226600
LOC_Os07g17230	Os07g0273700	None	None
LOC_Os07g17240	None	None	None
LOC_Os07g17250	Os07g0273900	None	None
LOC_Os07g17260	None	None	None
LOC_Os07g17260	None	None	None
LOC_Os07g17270	Os07g0274100	None	None
LOC_Os07g17280	Os07g0274100	None	None
LOC_Os07g17290	None	None	None
LOC_Os07g17300	Os07g0274300	None	None
LOC_Os07g17310	Os07g0274400	None	None
LOC_Os07g17320	None	None	None
LOC_Os07g17330	Os07g0274700	None	None
LOC_Os07g17340	None	None	None
LOC_Os07g17350	None	None	None
LOC_Os07g17360	Os07g0274800	None	None
LOC_Os07g17370	None	None	None
LOC_Os07g17380	None	None	None
LOC_Os07g17390	Os07g0275100	None	None
LOC_Os07g17390	Os07g0275201	None	None
LOC_Os07g17400	Os07g0275300	None	None
LOC_Os07g17410	Os07g0275600	None	None
LOC_Os07g17420	None	None	None
LOC_Os07g17430	None	None	ZS07g0216200
LOC_Os07g17440	None	MH07g0197300	None
LOC_Os07g17450	None	None	None
LOC_Os07g17460	Os07g0276000	MH07g0197200	ZS07g0215800
LOC_Os07g17470	None	None	None
LOC_Os07g17480	None	None	None
LOC_Os07g17490	None	None	None
LOC_Os07g17500	None	None	None
LOC_Os07g17510	None	None	None
LOC_Os07g17520	Os07g0277000	None	None
LOC_Os07g17520	Os07g0277066	None	None
LOC_Os07g17530	None	None	None
LOC_Os07g17540	None	None	None
LOC_Os07g17550	None	None	ZS07g0227300
LOC_Os07g17560	Os07g0277200	None	None
LOC_Os07g17570	None	None	None
LOC_Os07g17580	None	None	None
LOC_Os07g17590	None	None	None
LOC_Os07g17600	None	None	None
LOC_Os07g17610	None	None	None
LOC_Os07g17620	None	None	None
LOC_Os07g17630	None	None	None
LOC_Os07g17640	None	None	None
LOC_Os07g17650	None	None	None
LOC_Os07g17660	None	None	None
LOC_Os07g17670	None	None	ZS07g0227800
LOC_Os07g17680	Os07g0277500	None	None
LOC_Os07g17689	Os07g0277600	None	None
LOC_Os07g17700	None	None	None
LOC_Os07g17710	None	None	None
LOC_Os07g17720	None	None	None
LOC_Os07g17730	None	None	None
LOC_Os07g17740	None	None	None
LOC_Os07g17750	None	None	None
LOC_Os07g17760	None	None	None
LOC_Os07g17770	Os07g0278400	None	None
LOC_Os07g17780	None	None	None
LOC_Os07g17790	None	None	None
LOC_Os07g17800	None	None	None
LOC_Os07g17810	None	None	None
LOC_Os07g17820	None	None	None
LOC_Os07g17830	None	None	None
LOC_Os07g17840	Os07g0279650	None	ZS07g0230300
LOC_Os07g17850	None	None	None
LOC_Os07g17860	None	None	None
LOC_Os07g17870	None	None	None
LOC_Os07g17880	None	None	None
LOC_Os07g17890	None	None	None
LOC_Os07g17900	None	None	None
LOC_Os07g17910	None	None	None
LOC_Os07g17920	None	None	None
LOC_Os07g17930	None	None	None
LOC_Os07g17940	None	None	None
LOC_Os07g17950	None	None	None
LOC_Os07g17960	None	None	None
LOC_Os07g17970	Os07g0280200	MH07g0220800	ZS07g0232200
LOC_Os07g17980	None	None	None
LOC_Os07g17990	None	None	None
LOC_Os07g18000	None	None	None
LOC_Os07g18010	None	None	None
LOC_Os07g18020	None	None	ZS07g0233500
LOC_Os07g18030	None	None	None
LOC_Os07g18040	None	None	None
LOC_Os07g18050	Os07g0281000	MH07g0221800	ZS07g0233700
LOC_Os07g18060	None	None	None
LOC_Os07g18070	Os07g0281200	None	None
LOC_Os07g18080	None	None	None
LOC_Os07g18090	None	None	None
LOC_Os07g18100	None	None	None
LOC_Os07g18110	None	None	None
LOC_Os07g18120	Os07g0281800	MH07g0222300	ZS07g0234600
LOC_Os07g18120	Os07g0281700	MH07g0222300	ZS07g0234600
LOC_Os07g18130	None	None	None
LOC_Os07g18140	None	None	None
LOC_Os07g18154	Os07g0282300	None	None
